Company Ticker,Sector,Industry,MarketCap,Currency,MarketCap_USD
ADAM,Real Estate,REIT - Mortgage,605062080,USD,605062080.0
ADANIENT.NS,Energy,Thermal Coal,2809245466624,INR,31680597149.431103
ADANIPORTS.NS,Industrials,Marine Shipping,3134682562560,INR,35350636544.82051
ADBE,Technology,Software - Application,141264945152,USD,141264945152.0
ADC,Real Estate,REIT - Retail,8417891840,USD,8417891840.0
ADCT,Healthcare,Biotechnology,470247424,USD,470247424.0
ADEA,Technology,Software - Application,1563970944,USD,1563970944.0
ADI,Technology,Semiconductors,114925707264,USD,114925707264.0
ADM,Consumer Defensive,Farm Products,28871110656,USD,28871110656.0
ADM.L,Financial Services,Insurance - Property & Casualty,9699453952,GBp,12659993063.188684
ADMA,Healthcare,Biotechnology,3667754240,USD,3667754240.0
ADNT,Consumer Cyclical,Auto Parts,1966151552,USD,1966151552.0
ADP,Technology,Software - Application,104012087296,USD,104012087296.0
ADPT,Healthcare,Biotechnology,2640429824,USD,2640429824.0
ADSK,Technology,Software - Application,64675323904,USD,64675323904.0
ADT,Industrials,Security & Protection Services,7208508928,USD,7208508928.0
ADTN,Technology,Communication Equipment,834944128,USD,834944128.0
ADUS,Healthcare,Medical Care Facilities,2190277376,USD,2190277376.0
ADV,Communication Services,Advertising Agencies,413952544,USD,413952544.0
ADVANC.BK,Communication Services,Telecom Services,901185536000,THB,27677687809.96608
ADYEN.AS,Technology,Software - Infrastructure,46142357504,EUR,53025002305.88989
AEBI,Industrials,Farm & Heavy Construction Machinery,861158272,USD,861158272.0
AEE,Utilities,Utilities - Regulated Electric,27457423360,USD,27457423360.0
AEHR,Technology,Semiconductor Equipment & Materials,780171328,USD,780171328.0
AEIS,Industrials,Electrical Equipment & Parts,7755616768,USD,7755616768.0
AEM,Basic Materials,Gold,81789231104,USD,81789231104.0
AENA.MC,Industrials,Airports & Air Services,35339997184,EUR,40611350037.96234
AEO,Consumer Cyclical,Apparel Retail,2799171328,USD,2799171328.0
AEP,Utilities,Utilities - Regulated Electric,64189050880,USD,64189050880.0
AES,Utilities,Utilities - Diversified,9698114560,USD,9698114560.0
AESI,Energy,Oil & Gas Equipment & Services,1565298304,USD,1565298304.0
AEVA,Technology,Software - Infrastructure,868573056,USD,868573056.0
AEYE,Technology,Software - Application,189216640,USD,189216640.0
AF.PA,Industrials,Airlines,3150585344,EUR,3620530119.5549183
AFCG,Real Estate,REIT - Mortgage,73658200,USD,73658200.0
AFG,Financial Services,Insurance - Property & Casualty,10872972288,USD,10872972288.0
AFL,Financial Services,Insurance - Life,57210925056,USD,57210925056.0
AFRI,Consumer Defensive,Farm Products,252874960,USD,252874960.0
AFRM,Technology,Software - Infrastructure,23791482880,USD,23791482880.0
AFX.DE,Healthcare,Medical Instruments & Supplies,3875006720,EUR,4453006984.862592
