Company Ticker,Sector,Industry,MarketCap,Currency
ATKR,Industrials,Electrical Equipment & Parts,2355901952,USD
ATLC,Financial Services,Credit Services,851865280,USD
ATLO,Financial Services,Banks - Regional,186735504,USD
ATM.NZ,Consumer Defensive,Packaged Foods,7985930752,NZD
ATMU,Consumer Cyclical,Auto Parts,3778991360,USD
ATNI,Communication Services,Telecom Services,218180688,USD
ATO,Utilities,Utilities - Regulated Gas,27722420224,USD
ATOM,Technology,Semiconductor Equipment & Materials,90924560,USD
ATR,Healthcare,Medical Instruments & Supplies,7422838784,USD
ATRC,Healthcare,Medical Instruments & Supplies,1691869056,USD
ATRO,Industrials,Aerospace & Defense,1736660992,USD
ATUS,Communication Services,Telecom Services,1007586304,USD
ATXS,Healthcare,Biotechnology,699228352,USD
ATYR,Healthcare,Biotechnology,86296824,USD
AU,Basic Materials,Gold,33838065664,USD
AUB,Financial Services,Banks - Regional,4675741184,USD
AUB.AX,Financial Services,Insurance Brokers,4247630080,AUD
AUPH,Healthcare,Biotechnology,1733561088,USD
AUR,Technology,Information Technology Services,9773624320,USD
AURA,Healthcare,Biotechnology,375204032,USD
AUTO.L,Communication Services,Internet Content & Information,6700318720,GBp
AV.L,Financial Services,Insurance - Diversified,20089253888,GBp
AVA,Utilities,Utilities - Diversified,3093563904,USD
AVAH,Healthcare,Medical Care Facilities,1965856000,USD
AVAV,Industrials,Aerospace & Defense,18369060864,USD
AVB,Real Estate,REIT - Residential,25017284608,USD
AVBP,Healthcare,Biotechnology,714013440,USD
AVD,Basic Materials,Agricultural Inputs,132774064,USD
AVDL,Healthcare,Drug Manufacturers - Specialty & Generic,1842871552,USD
AVGO,Technology,Semiconductors,1712093396992,USD
AVIR,Healthcare,Biotechnology,257912048,USD
AVNS,Healthcare,Medical Devices,519707776,USD
AVNT,Basic Materials,Specialty Chemicals,2936621568,USD
AVNW,Technology,Communication Equipment,313014368,USD
AVO,Consumer Defensive,Food Distribution,826243328,USD
AVPT,Technology,Software - Infrastructure,2998237952,USD
AVR,Healthcare,Medical Instruments & Supplies,156871296,USD
AVT,Technology,Electronics & Computer Distribution,3916013824,USD
AVTR,Healthcare,Medical Instruments & Supplies,7963597824,USD
